"Item Type","Sales Qty","Refund Qty","Gross Total"
"Services","176","11","96,763.00"
"Products","20","0","1,447.90"
"Vouchers","65","1","43,844.00"
"Paid Plans","21","0","6,412.00"
"Total","282","12","CA $148,466.90"
"","","",""
"Payment type","Payments Collected","Refunds Paid",""
"","","",""
"test","CA $128.76","CA $0.00",""
"google pay","CA $30,894.00","CA $290.00",""
"Cash","CA $68,254.90","CA $1,574.00",""
"Card","CA $12,375.60","CA $417.00",""
"Voucher Redemptions","CA $325.00","CA $0.00",""
"Payments collected","CA $111,978.26","CA $2,281.00",""
"Of which tips","CA $593.60","CA $0.00",""
